scat_number,date,time,volume
4034,10/27/2006,17:30,207.0
4034,10/27/2006,17:45,216.0
4034,10/27/2006,18:00,198.0
4034,10/27/2006,18:15,204.25
4034,10/27/2006,18:30,189.0
4034,10/27/2006,18:45,167.0
4034,10/27/2006,19:00,167.5
4034,10/27/2006,19:15,156.25
4034,10/27/2006,19:30,136.75
4034,10/27/2006,19:45,128.0
4034,10/27/2006,20:00,104.5
4034,10/27/2006,20:15,95.75
4034,10/27/2006,20:30,98.25
4034,10/27/2006,20:45,95.5
4034,10/27/2006,21:00,101.0
4034,10/27/2006,21:15,93.25
4034,10/27/2006,21:30,90.5
4034,10/27/2006,21:45,81.5
4034,10/27/2006,22:00,80.25
4034,10/27/2006,22:15,83.25
4034,10/27/2006,22:30,76.5
4034,10/27/2006,22:45,76.25
4034,10/27/2006,23:00,79.75
4034,10/27/2006,23:15,69.0
4034,10/27/2006,23:30,63.25
4034,10/27/2006,23:45,56.25
4034,10/28/2006,00:00,60.25
4034,10/28/2006,00:15,47.0
4034,10/28/2006,00:30,39.0
4034,10/28/2006,00:45,33.75
4034,10/28/2006,01:00,27.5
4034,10/28/2006,01:15,29.0
4034,10/28/2006,01:30,27.75
4034,10/28/2006,01:45,19.0
4034,10/28/2006,02:00,22.5
4034,10/28/2006,02:15,18.75
4034,10/28/2006,02:30,19.25
4034,10/28/2006,02:45,15.0
4034,10/28/2006,03:00,14.75
4034,10/28/2006,03:15,20.75
4034,10/28/2006,03:30,16.25
4034,10/28/2006,03:45,9.75
4034,10/28/2006,04:00,10.75
4034,10/28/2006,04:15,14.75
4034,10/28/2006,04:30,10.5
4034,10/28/2006,04:45,11.75
4034,10/28/2006,05:00,15.0
4034,10/28/2006,05:15,14.75
4034,10/28/2006,05:30,15.5
4034,10/28/2006,05:45,27.25
4034,10/28/2006,06:00,23.25
4034,10/28/2006,06:15,35.5
4034,10/28/2006,06:30,53.25
4034,10/28/2006,06:45,54.0
4034,10/28/2006,07:00,58.25
4034,10/28/2006,07:15,61.25
4034,10/28/2006,07:30,75.0
4034,10/28/2006,07:45,92.25
4034,10/28/2006,08:00,92.25
4034,10/28/2006,08:15,116.0
4034,10/28/2006,08:30,129.0
4034,10/28/2006,08:45,150.25
4034,10/28/2006,09:00,137.0
4034,10/28/2006,09:15,154.75
4034,10/28/2006,09:30,164.25
4034,10/28/2006,09:45,184.0
4034,10/28/2006,10:00,173.0
4034,10/28/2006,10:15,184.25
4034,10/28/2006,10:30,175.75
4034,10/28/2006,10:45,176.0
4034,10/28/2006,11:00,187.0
4034,10/28/2006,11:15,188.25
4034,10/28/2006,11:30,210.5
4034,10/28/2006,11:45,201.75
4034,10/28/2006,12:00,209.75
4034,10/28/2006,12:15,207.0
4034,10/28/2006,12:30,203.0
4034,10/28/2006,12:45,197.75
4034,10/28/2006,13:00,199.75
4034,10/28/2006,13:15,190.0
4034,10/28/2006,13:30,185.5
4034,10/28/2006,13:45,201.25
4034,10/28/2006,14:00,174.25
4034,10/28/2006,14:15,190.0
4034,10/28/2006,14:30,179.5
4034,10/28/2006,14:45,172.25
4034,10/28/2006,15:00,181.75
4034,10/28/2006,15:15,180.25
4034,10/28/2006,15:30,174.5
4034,10/28/2006,15:45,173.25
4034,10/28/2006,16:00,179.5
4034,10/28/2006,16:15,172.75
4034,10/28/2006,16:30,176.5
4034,10/28/2006,16:45,177.0
4034,10/28/2006,17:00,175.75
4034,10/28/2006,17:15,191.5
4034,10/28/2006,17:30,180.0
4034,10/28/2006,17:45,169.75
4034,10/28/2006,18:00,167.75
4034,10/28/2006,18:15,171.5
4034,10/28/2006,18:30,153.75
4034,10/28/2006,18:45,155.5
4034,10/28/2006,19:00,145.75
4034,10/28/2006,19:15,145.25
4034,10/28/2006,19:30,125.0
4034,10/28/2006,19:45,120.25
4034,10/28/2006,20:00,105.25
4034,10/28/2006,20:15,105.0
4034,10/28/2006,20:30,93.5
4034,10/28/2006,20:45,95.0
4034,10/28/2006,21:00,82.0
4034,10/28/2006,21:15,75.25
4034,10/28/2006,21:30,76.75
4034,10/28/2006,21:45,89.25
4034,10/28/2006,22:00,97.5
4034,10/28/2006,22:15,80.25
4034,10/28/2006,22:30,78.0
4034,10/28/2006,22:45,97.75
4034,10/28/2006,23:00,105.0
4034,10/28/2006,23:15,83.0
4034,10/28/2006,23:30,81.75
4034,10/28/2006,23:45,74.25
4034,10/29/2006,00:00,77.75
4034,10/29/2006,00:15,73.75
4034,10/29/2006,00:30,59.0
4034,10/29/2006,00:45,52.0
4034,10/29/2006,01:00,46.75
4034,10/29/2006,01:15,36.5
4034,10/29/2006,01:30,33.5
4034,10/29/2006,01:45,0.0
4034,10/29/2006,02:00,0.0
4034,10/29/2006,02:15,0.0
4034,10/29/2006,02:30,0.0
4034,10/29/2006,02:45,25.0
4034,10/29/2006,03:00,23.5
4034,10/29/2006,03:15,24.75
4034,10/29/2006,03:30,24.25
4034,10/29/2006,03:45,20.5
4034,10/29/2006,04:00,18.5
4034,10/29/2006,04:15,18.5
4034,10/29/2006,04:30,20.25
4034,10/29/2006,04:45,14.25
4034,10/29/2006,05:00,19.5
4034,10/29/2006,05:15,18.0
4034,10/29/2006,05:30,16.25
4034,10/29/2006,05:45,23.5
4034,10/29/2006,06:00,20.5
4034,10/29/2006,06:15,26.25
4034,10/29/2006,06:30,33.25
4034,10/29/2006,06:45,36.75
4034,10/29/2006,07:00,35.5
4034,10/29/2006,07:15,38.25
4034,10/29/2006,07:30,40.0
4034,10/29/2006,07:45,45.75
4034,10/29/2006,08:00,49.75
4034,10/29/2006,08:15,64.75
4034,10/29/2006,08:30,67.75
4034,10/29/2006,08:45,76.0
4034,10/29/2006,09:00,86.0
4034,10/29/2006,09:15,91.25
4034,10/29/2006,09:30,108.25
4034,10/29/2006,09:45,117.5
4034,10/29/2006,10:00,108.75
4034,10/29/2006,10:15,129.0
4034,10/29/2006,10:30,124.0
4034,10/29/2006,10:45,128.75
4034,10/29/2006,11:00,138.25
4034,10/29/2006,11:15,151.5
4034,10/29/2006,11:30,133.75
4034,10/29/2006,11:45,164.25
4034,10/29/2006,12:00,157.75
4034,10/29/2006,12:15,175.5
4034,10/29/2006,12:30,163.75
4034,10/29/2006,12:45,170.25
4034,10/29/2006,13:00,172.75
4034,10/29/2006,13:15,167.75
4034,10/29/2006,13:30,169.0
4034,10/29/2006,13:45,160.5
4034,10/29/2006,14:00,165.5
4034,10/29/2006,14:15,157.5
4034,10/29/2006,14:30,143.5
4034,10/29/2006,14:45,159.5
4034,10/29/2006,15:00,154.5
4034,10/29/2006,15:15,169.0
4034,10/29/2006,15:30,158.25
4034,10/29/2006,15:45,161.0
4034,10/29/2006,16:00,171.75
4034,10/29/2006,16:15,164.25
4034,10/29/2006,16:30,183.25
4034,10/29/2006,16:45,162.75
4034,10/29/2006,17:00,173.25
4034,10/29/2006,17:15,175.0
4034,10/29/2006,17:30,176.75
4034,10/29/2006,17:45,173.25
4034,10/29/2006,18:00,151.75
4034,10/29/2006,18:15,159.25
4034,10/29/2006,18:30,150.0
4034,10/29/2006,18:45,140.75
4034,10/29/2006,19:00,116.75
4034,10/29/2006,19:15,103.25
4034,10/29/2006,19:30,109.5
4034,10/29/2006,19:45,94.25
4034,10/29/2006,20:00,78.25
4034,10/29/2006,20:15,87.0
4034,10/29/2006,20:30,93.25
4034,10/29/2006,20:45,90.5
4034,10/29/2006,21:00,88.0
4034,10/29/2006,21:15,80.25
4034,10/29/2006,21:30,75.75
4034,10/29/2006,21:45,80.5
4034,10/29/2006,22:00,72.25
4034,10/29/2006,22:15,66.5
4034,10/29/2006,22:30,59.75
4034,10/29/2006,22:45,60.25
4034,10/29/2006,23:00,50.75
4034,10/29/2006,23:15,40.25
4034,10/29/2006,23:30,39.5
4034,10/29/2006,23:45,24.5
4034,10/3/2006,00:00,16.5
4034,10/3/2006,00:15,14.25
4034,10/3/2006,00:30,11.5
4034,10/3/2006,00:45,6.25
4034,10/3/2006,01:00,7.25
4034,10/3/2006,01:15,7.0
4034,10/3/2006,01:30,8.0
4034,10/3/2006,01:45,4.75
4034,10/3/2006,02:00,6.5
4034,10/3/2006,02:15,5.25
4034,10/3/2006,02:30,5.5
4034,10/3/2006,02:45,6.25
4034,10/3/2006,03:00,5.5
4034,10/3/2006,03:15,6.0
4034,10/3/2006,03:30,6.25
4034,10/3/2006,03:45,4.25
4034,10/3/2006,04:00,4.25
4034,10/3/2006,04:15,7.5
4034,10/3/2006,04:30,9.5
4034,10/3/2006,04:45,18.0
4034,10/3/2006,05:00,19.5
4034,10/3/2006,05:15,23.0
4034,10/3/2006,05:30,32.5
4034,10/3/2006,05:45,40.5
4034,10/3/2006,06:00,60.0
4034,10/3/2006,06:15,87.5
4034,10/3/2006,06:30,137.5
4034,10/3/2006,06:45,142.25
4034,10/3/2006,07:00,179.0
4034,10/3/2006,07:15,201.0
4034,10/3/2006,07:30,237.0
4034,10/3/2006,07:45,224.75
4034,10/3/2006,08:00,235.25
4034,10/3/2006,08:15,242.25
4034,10/3/2006,08:30,213.75
4034,10/3/2006,08:45,205.75
4034,10/3/2006,09:00,199.75
4034,10/3/2006,09:15,183.5
4034,10/3/2006,09:30,174.75
4034,10/3/2006,09:45,165.25
4034,10/3/2006,10:00,143.75
4034,10/3/2006,10:15,166.25
4034,10/3/2006,10:30,160.5
4034,10/3/2006,10:45,148.0
4034,10/3/2006,11:00,155.75
4034,10/3/2006,11:15,166.75
4034,10/3/2006,11:30,141.0
